x, y, theta
7.230123999999999995e-01,7.600000000000000080e-06,8.989999949742674801e+01
7.317390000000000283e-01,3.049999999999999936e-05,8.979999967030121866e+01
7.404654999999999987e-01,6.849999999999999806e-05,8.970000038554691457e+01
7.491919999999999691e-01,1.218000000000000061e-04,8.960000018448756975e+01
7.579183999999999921e-01,1.903999999999999931e-04,8.949999990424957730e+01
7.666446000000000094e-01,2.741999999999999971e-04,8.940000039390461950e+01
7.753706999999999683e-01,3.732000000000000183e-04,8.930000020478043155e+01
7.840966000000000324e-01,4.873999999999999752e-04,8.920000017990862773e+01
7.928222999999999798e-01,6.168000000000000305e-04,8.910000001644593226e+01
8.015476999999999741e-01,7.615000000000000241e-04,8.900000053729365845e+01
8.102728999999999626e-01,9.213999999999999534e-04,8.890000030980446866e+01
8.189977999999999980e-01,1.096600000000000092e-03,8.880000015281513015e+01
8.277223999999999693e-01,1.286999999999999950e-03,8.869999978338390179e+01
8.364466000000000401e-01,1.492599999999999960e-03,8.860000004414747821e+01
8.451705000000000467e-01,1.713399999999999906e-03,8.849999948650368253e+01
8.538938999999999835e-01,1.949400000000000004e-03,8.840000009846720275e+01
8.626169000000000198e-01,2.200699999999999878e-03,8.830000039738384032e+01
8.713395000000000445e-01,2.467200000000000122e-03,8.820000011016995245e+01
8.800615999999999994e-01,2.748899999999999868e-03,8.810000007904159247e+01
8.887831999999999955e-01,3.045899999999999823e-03,8.799999996074947717e+01
8.975043000000000326e-01,3.357999999999999874e-03,8.789999953002210020e+01
9.062248000000000525e-01,3.685400000000000134e-03,8.779999954669806073e+01
9.149447000000000552e-01,4.028000000000000330e-03,8.769999974729597625e+01
9.236640000000000406e-01,4.385799999999999595e-03,8.759999982833919319e+01
9.323827000000000087e-01,4.758899999999999936e-03,8.749999943636910871e+01
9.411007000000000122e-01,5.147200000000000213e-03,8.739999945864308017e+01
9.498180000000000511e-01,5.550600000000000152e-03,8.729999964541080715e+01
9.585346000000000144e-01,5.969300000000000300e-03,8.719999958697752618e+01
9.672503999999999547e-01,6.403200000000000384e-03,8.710000017604467359e+01
9.759655000000000413e-01,6.852300000000000404e-03,8.699999996423851201e+01
9.846797999999999940e-01,7.316600000000000360e-03,8.689999979208219827e+01
9.933931999999999762e-01,7.796199999999999658e-03,8.680000043571273238e+01
1.002105800000000047e+00,8.290900000000000353e-03,8.670000057269092508e+01
1.010817599999999983e+00,8.800900000000000389e-03,8.659999976906665609e+01
1.019528400000000001e+00,9.325999999999999221e-03,8.650000014231589773e+01
1.028238299999999938e+00,9.866400000000000864e-03,8.640000010614224379e+01
1.036947300000000016e+00,1.042189999999999957e-02,8.629999949809646864e+01
1.045655199999999896e+00,1.099269999999999935e-02,8.620000015472355415e+01
1.054362199999999916e+00,1.157859999999999966e-02,8.609999963425742919e+01
1.063068099999999960e+00,1.217969999999999990e-02,8.599999984467042680e+01
1.071772900000000028e+00,1.279609999999999949e-02,8.590000039888596461e+01
1.080476699999999957e+00,1.342759999999999961e-02,8.580000001077681304e+01
1.089179300000000072e+00,1.407429999999999966e-02,8.570000058107611096e+01
1.097880900000000048e+00,1.473619999999999965e-02,8.559999951910948823e+01
1.106581199999999932e+00,1.541329999999999957e-02,8.549999994734763220e+01
