# x, y, z, psi, theta
0.01,0.00,0.00,89.90,89.90
0.01,0.00,0.00,89.86,89.86
0.02,0.00,0.00,89.83,89.83
0.02,0.00,0.00,89.79,89.79
0.02,0.00,0.00,89.76,89.76
0.02,0.00,0.00,89.72,89.72
0.03,0.00,0.00,89.68,89.68
0.03,0.00,0.00,89.65,89.65
0.03,0.00,0.00,89.61,89.61
0.04,0.00,0.00,89.58,89.58
0.04,0.00,0.00,89.54,89.54
0.04,0.00,0.00,89.50,89.50
0.05,0.00,0.00,89.47,89.47
0.05,0.00,0.00,89.43,89.43
0.05,0.00,0.00,89.40,89.40
0.06,0.00,0.00,89.36,89.36
0.06,0.00,0.00,89.32,89.32
0.06,0.00,0.00,89.29,89.29
0.07,0.00,0.00,89.25,89.25
0.07,0.00,0.00,89.22,89.22
0.07,0.00,0.00,89.18,89.18
0.07,0.00,0.00,89.14,89.14
0.08,0.00,0.00,89.11,89.11
0.08,0.00,0.00,89.07,89.07
0.08,0.00,0.00,89.04,89.04
0.09,0.00,0.00,89.00,89.00
0.09,0.00,0.00,88.96,88.96
0.09,0.00,0.00,88.93,88.93
0.10,0.00,0.00,88.89,88.89
0.10,0.00,0.00,88.86,88.86
0.10,0.00,0.00,88.82,88.82
0.11,0.00,0.00,88.78,88.78
0.11,0.00,0.00,88.75,88.75
0.11,0.00,0.00,88.71,88.71
0.12,0.00,0.00,88.68,88.68
0.12,0.00,0.00,88.64,88.64
0.12,0.00,0.00,88.60,88.60
0.12,0.00,0.00,88.57,88.57
0.13,0.00,0.00,88.53,88.53
0.13,0.00,0.00,88.50,88.50
0.13,0.00,0.00,88.46,88.46
0.14,0.00,0.00,88.42,88.42
0.14,0.00,0.00,88.39,88.39
0.14,0.00,0.00,88.35,88.35
0.15,0.00,0.00,88.32,88.32
0.15,0.00,0.00,88.28,88.28
0.15,0.00,0.00,88.24,88.24
0.16,0.00,0.00,88.21,88.21
0.16,0.00,0.00,88.17,88.17
0.16,0.00,0.00,88.14,88.14
0.17,0.00,0.00,88.10,88.10
0.17,0.00,0.00,88.06,88.06
0.17,0.00,0.00,88.03,88.03
